NURSCO,NURNAME,SAMPLE,entry,CLASS,NAMET,pedigree,LOCATION,loccode,year1,year0,mmbran,mmflour,mmmids,microsd,FSDS,FSR_C,FSR_L,FSR_W,FSR_S,LDOPA,TWT,SKHRD,SKHRDSD,SKWT,SKWTSD,SKSIZE,SKSIZESD,FPROT,FASH,FYELD,MSCOR,BKFYELD,CODI,CAVOL
104,SOFT ELITE,10,32,CLUB,DH08X028-26-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.47,2.99,12.8,1,7,63.7,71.8,53.2,83.6,0.93,60.1,24.09,15.2,35.2,9.27,2.64,0.34,7.3,0.38,71.6,88.1,47.3,9.8,
92,SOFT ELITE,50,23,SWW,DH08X028-28-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.93,3.17,13.8,,9.9,,,55.3,,,60.8,43.2,15.4,30.3,7.1,2.5,0.3,9.6,0.39,68.2,83.1,41.7,9.27,1155
94,CARA/XERPHA DOUBLE H,12,23,SWW,DH08X028-28-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.93,3.17,13.8,,9.6,63.3,107.3,54,91.4,1.427,60.8,42.9,17,32,7.6,2.5,0.3,9.7,0.31,70.2,90.8,43.4,9.13,
106,SOFT ELITE,16,24,CLUB,DH08X028-3-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.2,3.05,13.4,0.6,4.1,61.9,64.5,55.9,85.8,0.795,63.7,40.54,15.2,32.2,9.02,2.57,0.31,9.2,0.29,67.7,88.9,43.7,9.51,
95,SOFT ELITE,10,10,CLUB,DH08X028-3-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.91,2.88,11.2,0.4,2.6,75.7,68.3,47,94.7,0.981,64.3,50.28,16.6,30.4,7.71,2.51,0.34,9.6,0.36,70.2,87.6,49,9.54,1190
92,SOFT ELITE,43,24,CLUB,DH08X028-39-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.54,3.6,14,,9,,,53,,,62,39.9,17.5,28,7,2.4,0.3,11.1,0.39,68.4,83.4,43.9,9.44,1270
94,CARA/XERPHA DOUBLE H,15,24,CLUB,DH08X028-39-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.54,3.6,14,,6.4,65.2,95.8,52.9,89.3,1.228,62.1,38.3,16.2,28,6.8,2.4,0.3,11,0.32,70,89.9,45.9,9.31,
104,SOFT ELITE,18,40,CLUB,DH08X028-39-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,5.53,2.38,13,2,7.6,68.7,94.9,54.4,94.8,1.127,61.9,32.93,15.1,33.8,8.94,2.54,0.32,8.7,0.32,64.1,82.4,39.6,9.49,
92,SOFT ELITE,17,25,CLUB,DH08X028-40-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.37,3.36,11.4,,7.9,,,53.4,,,56.3,36.6,19.8,22.1,6.3,2.2,0.3,12.2,0.39,69.9,85.3,48,9.4,1240
94,CARA/XERPHA DOUBLE H,96,25,CLUB,DH08X028-40-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.37,3.36,11.4,,7.9,62.1,74.8,49.1,89.4,1.495,56.4,31,20.2,25.6,8.3,2.3,0.3,12.4,0.38,71.2,87.6,49.4,9.45,
104,SOFT ELITE,19,41,CLUB,DH08X028-40-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.36,3.02,12.3,1,6.1,62.7,75.1,51.6,84.8,1.048,60.1,22.64,15.2,33,9.68,2.54,0.35,7.1,0.37,70.8,87.7,47.5,9.82,
